	channel_count	characteristics_ch1	contact_address	contact_city	contact_country	contact_institute	contact_name	contact_zip/postal_code	data_processing	data_row_count	description	extract_protocol_ch1	geo_accession	instrument_model	last_update_date	library_selection	library_source	library_strategy	molecule_ch1	organism_ch1	platform_id	series_id	source_name_ch1	status	submission_date	supplementary_file_1	taxid_ch1	title	type
GSM8787622	1	tissue: tumor; tumor type: Glioblastoma, IDH-wildtype	Charitéplatz 1	Berlin	Germany	Charité - Universitätsmedizin Berlin	Philipp,,Euskirchen	10117	Processing of WGBS data from 22 human diffuse glioma samples was erformed using the One Touch Pipeline (OTP) which uses bwa v0.6.1 for alignment and methylCtools v1.0.0 for methylation calling. Plus- and minus-strand methylated allele frequencies at CpG sites were merged using custom scripts. For nanopore sequencing data, raw sequencing data were basecalled using ONT's proprietary software (guppy or dorado) and aligned to hg19 using minimap2. Methylated allele frequencies were extracted using modkit.; Assembly: hg19; Supplementary files format and content: bedMethyl; The BED files adhere to the ENCODE bedMethyl standard outlined in 'Whole-Genome Bisulfite Sequencing Data Standards and Processing Pipeline – ENCODE' (encodeproject.org); https://www.encodeproject.org/data-standards/wgbs/	0	Library name: T21-008; low-pass WGS	Genomic DNA was extracted from tumor tissue using commercial extraction kits as part of neuropathological routine workup.; WGBS libraries were prepared using a NEBNext Methyl-seq Kit (NEB), and were then sequenced on an Illumina NovaSeq 6000 platform at the BIH Core Unit Genomics over two S4 flow cells in a paired-end setting of 2 x 150 bp. Nanopore libraries were prepared using Rapid Barcoding Kit (ONT) and sequenced on R9 or R10.4.1 flow cells on MinION/GridION or P2 Solo devices.	GSM8787622	PromethION	Feb 24 2025	other	genomic	OTHER	genomic DNA	Homo sapiens	GPL26167	GSE289246	tumor	Public on Feb 24 2025	Feb 10 2025	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8787nnn/GSM8787622/suppl/GSM8787622_T21-008.CpG.bed.gz	9606	T21-008	SRA
GSM8787624	1	tissue: tumor; tumor type: Glioblastoma, IDH-wildtype	Charitéplatz 1	Berlin	Germany	Charité - Universitätsmedizin Berlin	Philipp,,Euskirchen	10117	Processing of WGBS data from 22 human diffuse glioma samples was erformed using the One Touch Pipeline (OTP) which uses bwa v0.6.1 for alignment and methylCtools v1.0.0 for methylation calling. Plus- and minus-strand methylated allele frequencies at CpG sites were merged using custom scripts. For nanopore sequencing data, raw sequencing data were basecalled using ONT's proprietary software (guppy or dorado) and aligned to hg19 using minimap2. Methylated allele frequencies were extracted using modkit.; Assembly: hg19; Supplementary files format and content: bedMethyl; The BED files adhere to the ENCODE bedMethyl standard outlined in 'Whole-Genome Bisulfite Sequencing Data Standards and Processing Pipeline – ENCODE' (encodeproject.org); https://www.encodeproject.org/data-standards/wgbs/	0	Library name: T20-168; low-pass WGS	Genomic DNA was extracted from tumor tissue using commercial extraction kits as part of neuropathological routine workup.; WGBS libraries were prepared using a NEBNext Methyl-seq Kit (NEB), and were then sequenced on an Illumina NovaSeq 6000 platform at the BIH Core Unit Genomics over two S4 flow cells in a paired-end setting of 2 x 150 bp. Nanopore libraries were prepared using Rapid Barcoding Kit (ONT) and sequenced on R9 or R10.4.1 flow cells on MinION/GridION or P2 Solo devices.	GSM8787624	PromethION	Feb 24 2025	other	genomic	OTHER	genomic DNA	Homo sapiens	GPL26167	GSE289246	tumor	Public on Feb 24 2025	Feb 10 2025	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8787nnn/GSM8787624/suppl/GSM8787624_T20-168.CpG.bed.gz	9606	T20-168	SRA
GSM8787625	1	tissue: tumor; tumor type: Glioblastoma, IDH-wildtype	Charitéplatz 1	Berlin	Germany	Charité - Universitätsmedizin Berlin	Philipp,,Euskirchen	10117	Processing of WGBS data from 22 human diffuse glioma samples was erformed using the One Touch Pipeline (OTP) which uses bwa v0.6.1 for alignment and methylCtools v1.0.0 for methylation calling. Plus- and minus-strand methylated allele frequencies at CpG sites were merged using custom scripts. For nanopore sequencing data, raw sequencing data were basecalled using ONT's proprietary software (guppy or dorado) and aligned to hg19 using minimap2. Methylated allele frequencies were extracted using modkit.; Assembly: hg19; Supplementary files format and content: bedMethyl; The BED files adhere to the ENCODE bedMethyl standard outlined in 'Whole-Genome Bisulfite Sequencing Data Standards and Processing Pipeline – ENCODE' (encodeproject.org); https://www.encodeproject.org/data-standards/wgbs/	0	Library name: T20-171; low-pass WGS	Genomic DNA was extracted from tumor tissue using commercial extraction kits as part of neuropathological routine workup.; WGBS libraries were prepared using a NEBNext Methyl-seq Kit (NEB), and were then sequenced on an Illumina NovaSeq 6000 platform at the BIH Core Unit Genomics over two S4 flow cells in a paired-end setting of 2 x 150 bp. Nanopore libraries were prepared using Rapid Barcoding Kit (ONT) and sequenced on R9 or R10.4.1 flow cells on MinION/GridION or P2 Solo devices.	GSM8787625	PromethION	Feb 24 2025	other	genomic	OTHER	genomic DNA	Homo sapiens	GPL26167	GSE289246	tumor	Public on Feb 24 2025	Feb 10 2025	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8787nnn/GSM8787625/suppl/GSM8787625_T20-171.CpG.bed.gz	9606	T20-171	SRA
GSM8787630	1	tissue: tumor; tumor type: Pilocytic astrocytoma	Charitéplatz 1	Berlin	Germany	Charité - Universitätsmedizin Berlin	Philipp,,Euskirchen	10117	Processing of WGBS data from 22 human diffuse glioma samples was erformed using the One Touch Pipeline (OTP) which uses bwa v0.6.1 for alignment and methylCtools v1.0.0 for methylation calling. Plus- and minus-strand methylated allele frequencies at CpG sites were merged using custom scripts. For nanopore sequencing data, raw sequencing data were basecalled using ONT's proprietary software (guppy or dorado) and aligned to hg19 using minimap2. Methylated allele frequencies were extracted using modkit.; Assembly: hg19; Supplementary files format and content: bedMethyl; The BED files adhere to the ENCODE bedMethyl standard outlined in 'Whole-Genome Bisulfite Sequencing Data Standards and Processing Pipeline – ENCODE' (encodeproject.org); https://www.encodeproject.org/data-standards/wgbs/	0	Library name: T21-036; low-pass WGS	Genomic DNA was extracted from tumor tissue using commercial extraction kits as part of neuropathological routine workup.; WGBS libraries were prepared using a NEBNext Methyl-seq Kit (NEB), and were then sequenced on an Illumina NovaSeq 6000 platform at the BIH Core Unit Genomics over two S4 flow cells in a paired-end setting of 2 x 150 bp. Nanopore libraries were prepared using Rapid Barcoding Kit (ONT) and sequenced on R9 or R10.4.1 flow cells on MinION/GridION or P2 Solo devices.	GSM8787630	PromethION	Feb 24 2025	other	genomic	OTHER	genomic DNA	Homo sapiens	GPL26167	GSE289246	tumor	Public on Feb 24 2025	Feb 10 2025	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8787nnn/GSM8787630/suppl/GSM8787630_T21-036.CpG.bed.gz	9606	T21-036	SRA
GSM8787631	1	tissue: tumor; tumor type: Pilocytic astrocytoma	Charitéplatz 1	Berlin	Germany	Charité - Universitätsmedizin Berlin	Philipp,,Euskirchen	10117	Processing of WGBS data from 22 human diffuse glioma samples was erformed using the One Touch Pipeline (OTP) which uses bwa v0.6.1 for alignment and methylCtools v1.0.0 for methylation calling. Plus- and minus-strand methylated allele frequencies at CpG sites were merged using custom scripts. For nanopore sequencing data, raw sequencing data were basecalled using ONT's proprietary software (guppy or dorado) and aligned to hg19 using minimap2. Methylated allele frequencies were extracted using modkit.; Assembly: hg19; Supplementary files format and content: bedMethyl; The BED files adhere to the ENCODE bedMethyl standard outlined in 'Whole-Genome Bisulfite Sequencing Data Standards and Processing Pipeline – ENCODE' (encodeproject.org); https://www.encodeproject.org/data-standards/wgbs/	0	Library name: T21-058; low-pass WGS	Genomic DNA was extracted from tumor tissue using commercial extraction kits as part of neuropathological routine workup.; WGBS libraries were prepared using a NEBNext Methyl-seq Kit (NEB), and were then sequenced on an Illumina NovaSeq 6000 platform at the BIH Core Unit Genomics over two S4 flow cells in a paired-end setting of 2 x 150 bp. Nanopore libraries were prepared using Rapid Barcoding Kit (ONT) and sequenced on R9 or R10.4.1 flow cells on MinION/GridION or P2 Solo devices.	GSM8787631	PromethION	Feb 24 2025	other	genomic	OTHER	genomic DNA	Homo sapiens	GPL26167	GSE289246	tumor	Public on Feb 24 2025	Feb 10 2025	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8787nnn/GSM8787631/suppl/GSM8787631_T21-058.CpG.bed.gz	9606	T21-058	SRA
GSM8787632	1	tissue: tumor; tumor type: Glioblastoma, IDH-wildtype	Charitéplatz 1	Berlin	Germany	Charité - Universitätsmedizin Berlin	Philipp,,Euskirchen	10117	Processing of WGBS data from 22 human diffuse glioma samples was erformed using the One Touch Pipeline (OTP) which uses bwa v0.6.1 for alignment and methylCtools v1.0.0 for methylation calling. Plus- and minus-strand methylated allele frequencies at CpG sites were merged using custom scripts. For nanopore sequencing data, raw sequencing data were basecalled using ONT's proprietary software (guppy or dorado) and aligned to hg19 using minimap2. Methylated allele frequencies were extracted using modkit.; Assembly: hg19; Supplementary files format and content: bedMethyl; The BED files adhere to the ENCODE bedMethyl standard outlined in 'Whole-Genome Bisulfite Sequencing Data Standards and Processing Pipeline – ENCODE' (encodeproject.org); https://www.encodeproject.org/data-standards/wgbs/	0	Library name: T21-107; low-pass WGS	Genomic DNA was extracted from tumor tissue using commercial extraction kits as part of neuropathological routine workup.; WGBS libraries were prepared using a NEBNext Methyl-seq Kit (NEB), and were then sequenced on an Illumina NovaSeq 6000 platform at the BIH Core Unit Genomics over two S4 flow cells in a paired-end setting of 2 x 150 bp. Nanopore libraries were prepared using Rapid Barcoding Kit (ONT) and sequenced on R9 or R10.4.1 flow cells on MinION/GridION or P2 Solo devices.	GSM8787632	PromethION	Feb 24 2025	other	genomic	OTHER	genomic DNA	Homo sapiens	GPL26167	GSE289246	tumor	Public on Feb 24 2025	Feb 10 2025	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8787nnn/GSM8787632/suppl/GSM8787632_T21-107.CpG.bed.gz	9606	T21-107	SRA
GSM8787635	1	tissue: tumor; tumor type: Glioblastoma, IDH-wildtype	Charitéplatz 1	Berlin	Germany	Charité - Universitätsmedizin Berlin	Philipp,,Euskirchen	10117	Processing of WGBS data from 22 human diffuse glioma samples was erformed using the One Touch Pipeline (OTP) which uses bwa v0.6.1 for alignment and methylCtools v1.0.0 for methylation calling. Plus- and minus-strand methylated allele frequencies at CpG sites were merged using custom scripts. For nanopore sequencing data, raw sequencing data were basecalled using ONT's proprietary software (guppy or dorado) and aligned to hg19 using minimap2. Methylated allele frequencies were extracted using modkit.; Assembly: hg19; Supplementary files format and content: bedMethyl; The BED files adhere to the ENCODE bedMethyl standard outlined in 'Whole-Genome Bisulfite Sequencing Data Standards and Processing Pipeline – ENCODE' (encodeproject.org); https://www.encodeproject.org/data-standards/wgbs/	0	Library name: T21-124; low-pass WGS	Genomic DNA was extracted from tumor tissue using commercial extraction kits as part of neuropathological routine workup.; WGBS libraries were prepared using a NEBNext Methyl-seq Kit (NEB), and were then sequenced on an Illumina NovaSeq 6000 platform at the BIH Core Unit Genomics over two S4 flow cells in a paired-end setting of 2 x 150 bp. Nanopore libraries were prepared using Rapid Barcoding Kit (ONT) and sequenced on R9 or R10.4.1 flow cells on MinION/GridION or P2 Solo devices.	GSM8787635	PromethION	Feb 24 2025	other	genomic	OTHER	genomic DNA	Homo sapiens	GPL26167	GSE289246	tumor	Public on Feb 24 2025	Feb 10 2025	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8787nnn/GSM8787635/suppl/GSM8787635_T21-124.CpG.bed.gz	9606	T21-124	SRA
GSM8787637	1	tissue: tumor; tumor type: Pilocytic astrocytoma	Charitéplatz 1	Berlin	Germany	Charité - Universitätsmedizin Berlin	Philipp,,Euskirchen	10117	Processing of WGBS data from 22 human diffuse glioma samples was erformed using the One Touch Pipeline (OTP) which uses bwa v0.6.1 for alignment and methylCtools v1.0.0 for methylation calling. Plus- and minus-strand methylated allele frequencies at CpG sites were merged using custom scripts. For nanopore sequencing data, raw sequencing data were basecalled using ONT's proprietary software (guppy or dorado) and aligned to hg19 using minimap2. Methylated allele frequencies were extracted using modkit.; Assembly: hg19; Supplementary files format and content: bedMethyl; The BED files adhere to the ENCODE bedMethyl standard outlined in 'Whole-Genome Bisulfite Sequencing Data Standards and Processing Pipeline – ENCODE' (encodeproject.org); https://www.encodeproject.org/data-standards/wgbs/	0	Library name: T21-143; low-pass WGS	Genomic DNA was extracted from tumor tissue using commercial extraction kits as part of neuropathological routine workup.; WGBS libraries were prepared using a NEBNext Methyl-seq Kit (NEB), and were then sequenced on an Illumina NovaSeq 6000 platform at the BIH Core Unit Genomics over two S4 flow cells in a paired-end setting of 2 x 150 bp. Nanopore libraries were prepared using Rapid Barcoding Kit (ONT) and sequenced on R9 or R10.4.1 flow cells on MinION/GridION or P2 Solo devices.	GSM8787637	PromethION	Feb 24 2025	other	genomic	OTHER	genomic DNA	Homo sapiens	GPL26167	GSE289246	tumor	Public on Feb 24 2025	Feb 10 2025	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8787nnn/GSM8787637/suppl/GSM8787637_T21-143.CpG.bed.gz	9606	T21-143	SRA
GSM8787638	1	tissue: tumor; tumor type: Glioblastoma, IDH-wildtype	Charitéplatz 1	Berlin	Germany	Charité - Universitätsmedizin Berlin	Philipp,,Euskirchen	10117	Processing of WGBS data from 22 human diffuse glioma samples was erformed using the One Touch Pipeline (OTP) which uses bwa v0.6.1 for alignment and methylCtools v1.0.0 for methylation calling. Plus- and minus-strand methylated allele frequencies at CpG sites were merged using custom scripts. For nanopore sequencing data, raw sequencing data were basecalled using ONT's proprietary software (guppy or dorado) and aligned to hg19 using minimap2. Methylated allele frequencies were extracted using modkit.; Assembly: hg19; Supplementary files format and content: bedMethyl; The BED files adhere to the ENCODE bedMethyl standard outlined in 'Whole-Genome Bisulfite Sequencing Data Standards and Processing Pipeline – ENCODE' (encodeproject.org); https://www.encodeproject.org/data-standards/wgbs/	0	Library name: T21-171; low-pass WGS	Genomic DNA was extracted from tumor tissue using commercial extraction kits as part of neuropathological routine workup.; WGBS libraries were prepared using a NEBNext Methyl-seq Kit (NEB), and were then sequenced on an Illumina NovaSeq 6000 platform at the BIH Core Unit Genomics over two S4 flow cells in a paired-end setting of 2 x 150 bp. Nanopore libraries were prepared using Rapid Barcoding Kit (ONT) and sequenced on R9 or R10.4.1 flow cells on MinION/GridION or P2 Solo devices.	GSM8787638	PromethION	Feb 24 2025	other	genomic	OTHER	genomic DNA	Homo sapiens	GPL26167	GSE289246	tumor	Public on Feb 24 2025	Feb 10 2025	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8787nnn/GSM8787638/suppl/GSM8787638_T21-171.CpG.bed.gz	9606	T21-171	SRA
GSM8787639	1	tissue: tumor; tumor type: Glioblastoma, IDH-wildtype	Charitéplatz 1	Berlin	Germany	Charité - Universitätsmedizin Berlin	Philipp,,Euskirchen	10117	Processing of WGBS data from 22 human diffuse glioma samples was erformed using the One Touch Pipeline (OTP) which uses bwa v0.6.1 for alignment and methylCtools v1.0.0 for methylation calling. Plus- and minus-strand methylated allele frequencies at CpG sites were merged using custom scripts. For nanopore sequencing data, raw sequencing data were basecalled using ONT's proprietary software (guppy or dorado) and aligned to hg19 using minimap2. Methylated allele frequencies were extracted using modkit.; Assembly: hg19; Supplementary files format and content: bedMethyl; The BED files adhere to the ENCODE bedMethyl standard outlined in 'Whole-Genome Bisulfite Sequencing Data Standards and Processing Pipeline – ENCODE' (encodeproject.org); https://www.encodeproject.org/data-standards/wgbs/	0	Library name: T21-176; low-pass WGS	Genomic DNA was extracted from tumor tissue using commercial extraction kits as part of neuropathological routine workup.; WGBS libraries were prepared using a NEBNext Methyl-seq Kit (NEB), and were then sequenced on an Illumina NovaSeq 6000 platform at the BIH Core Unit Genomics over two S4 flow cells in a paired-end setting of 2 x 150 bp. Nanopore libraries were prepared using Rapid Barcoding Kit (ONT) and sequenced on R9 or R10.4.1 flow cells on MinION/GridION or P2 Solo devices.	GSM8787639	PromethION	Feb 24 2025	other	genomic	OTHER	genomic DNA	Homo sapiens	GPL26167	GSE289246	tumor	Public on Feb 24 2025	Feb 10 2025	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8787nnn/GSM8787639/suppl/GSM8787639_T21-176.CpG.bed.gz	9606	T21-176	SRA
