Sample_Group	Sample_ID	casecontrol
control	20251103_217625_SV_UA_PanNET_HP15119	FALSE
control	20251103_217626_SV_UA_PanNET_HP23350	FALSE
control	20251103_217627_SV_UA_PanNET_HP21328	FALSE
control	20251103_217628_SV_UA_PanNET_HP13151	FALSE
control	20251103_217629_SV_UA_PanNET_HP16197	FALSE
control	synthetic_1	FALSE
control	synthetic_2	FALSE
control	synthetic_3	FALSE
control	synthetic_4	FALSE
control	synthetic_5	FALSE
case	synthetic_6	TRUE
case	synthetic_7	TRUE
case	synthetic_8	TRUE
case	synthetic_9	TRUE
case	synthetic_10	TRUE
case	synthetic_11	TRUE
case	synthetic_12	TRUE
case	synthetic_13	TRUE
case	synthetic_14	TRUE
case	synthetic_15	TRUE
