seqnames	start	end	width	num_sites	cov	delta_beta	delta_beta_abs	intended_delta_beta	intended_delta_beta_abs	direction	case_group	genome	background_corr_target	expected_correlation	corr_target	corr_sd_used	corr_metric_estimate	neighbor_window
chr20	45034743	45035868	1126	10	100	0.346114611461146	0.346114611461146	0.352391222115619	0.352391222115619	hyper	case	hg19	0.395386516033612	0.78	0.78	1.7	0.784172667162099	5
chr20	62715661	62716607	947	9	100	0.199599959996	0.199599959996	0.207139299331308	0.207139299331308	hyper	case	hg19	0.101634885174204	0.78	0.78	1.7	0.784172667162099	5
chr20	22566877	22568117	1241	10	100	0.173997399739974	0.173997399739974	0.189728706220382	0.189728706220382	hyper	case	hg19	0.0668049470201999	0.78	0.78	1.7	0.784172667162099	5
chr20	2187533	2188664	1132	7	100	0.187418741874187	0.187418741874187	0.17599284869186	0.17599284869186	hyper	case	hg19	0.519708601059477	0.78	0.78	1.7	0.784172667162099	5
chr20	56135615	56136570	956	6	100	-0.284398439843984	0.284398439843984	-0.278162752946731	0.278162752946731	hypo	case	hg19	0.59150186722313	0.78	0.78	1.7	0.784172667162099	5
chr20	57616897	57618488	1592	8	100	0.265866586658666	0.265866586658666	0.260560774518951	0.260560774518951	hyper	case	hg19	0.165882054377624	0.78	0.78	1.7	0.784172667162099	5
chr20	3218145	3218906	762	11	100	-0.161436143614361	0.161436143614361	-0.170988008726371	0.170988008726371	hypo	case	hg19	0.510599718419644	0.78	0.78	1.7	0.784172667162099	5
chr20	62737547	62738359	813	8	100	-0.236553655365537	0.236553655365537	-0.236823733149076	0.236823733149076	hypo	case	hg19	0.215836122403314	0.78	0.78	1.7	0.784172667162099	5
chr20	3148785	3149778	994	10	100	-0.217721772177218	0.217721772177218	-0.207074559580318	0.207074559580318	hypo	case	hg19	0.659475934987857	0.78	0.78	1.7	0.784172667162099	5
chr20	708630	709393	764	5	100	0.268786878687869	0.268786878687869	0.274194367896572	0.274194367896572	hyper	case	hg19	0.571065187099785	0.78	0.78	1.7	0.784172667162099	5
chr21	46348306	46349096	791	6	100	0.0722372237223723	0.0722372237223723	0.0672154354977607	0.0672154354977607	hyper	case	hg19	0.178000613348872	0.78	0.78	1.7	0.784172667162099	5
chr20	17295815	17296598	784	6	100	0.183558355835584	0.183558355835584	0.183009092423063	0.183009092423063	hyper	case	hg19	0.232602336088576	0.78	0.78	1.7	0.784172667162099	5
chr20	2636391	2637504	1114	13	100	-0.276647664766477	0.276647664766477	-0.295197798610822	0.295197798610822	hypo	case	hg19	0.527014979044603	0.78	0.78	1.7	0.784172667162099	5
