seqnames	start	end	width	num_sites	cov	delta_beta	delta_beta_abs	intended_delta_beta	intended_delta_beta_abs	direction	case_group	genome	background_corr_target	expected_correlation	corr_target	corr_sd_used	corr_metric_estimate	neighbor_window
chr20	10206863	10207605	743	12	22.4208333333333	-0.427317884095299	0.427317884095299	-0.402928501576804	0.402928501576804	hypo	case		0.342817170866663	0.65	0.65	2.4	0.646189152981116	5
chr21	30239656	30239956	301	5	20.81	0.199829577077267	0.199829577077267	0.178133932414555	0.178133932414555	hyper	case		0.126893303399511	0.65	0.65	2.4	0.646189152981116	5
chr21	15420572	15421978	1407	31	22.8209677419355	-0.353994022613327	0.353994022613327	-0.381928807252593	0.381928807252593	hypo	case		0.327556147932314	0.65	0.65	2.4	0.646189152981116	5
chr21	10454134	10455215	1082	11	135.754545454545	0.355198504555995	0.355198504555995	0.341833088892177	0.341833088892177	hyper	case		0.32793474329519	0.65	0.65	2.4	0.646189152981116	5
chr21	20452553	20453058	506	8	21.80625	-0.286854398856799	0.286854398856799	-0.330384115773684	0.330384115773684	hypo	case		0.236271353536947	0.65	0.65	2.4	0.646189152981116	5
chr20	11976866	11977323	458	11	24.5727272727273	-0.203105581998282	0.203105581998282	-0.223246705780929	0.223246705780929	hypo	case		0.390563407723262	0.65	0.65	2.4	0.646189152981116	5
chr20	60830167	60831791	1625	17	23.6205882352941	-0.288949928293549	0.288949928293549	-0.284339643403062	0.284339643403062	hypo	case		0.610768978231942	0.65	0.65	2.4	0.646189152981116	5
chr21	40974579	40975018	440	5	20.6	-0.137391942270522	0.137391942270522	-0.125408822284503	0.125408822284503	hypo	case		0.283500491277172	0.65	0.65	2.4	0.646189152981116	5
chr20	17056481	17056929	449	8	23.1875	-0.288261284253555	0.288261284253555	-0.294615992433839	0.294615992433839	hypo	case		0.420972942626181	0.65	0.65	2.4	0.646189152981116	5
chr20	44976558	44977011	454	11	21.8818181818182	-0.353340716808389	0.353340716808389	-0.357087463083612	0.357087463083612	hypo	case		0.500027594446024	0.65	0.65	2.4	0.646189152981116	5
chr21	14922622	14922934	313	6	20.4916666666667	-0.345930997765063	0.345930997765063	-0.386449728838785	0.386449728838785	hypo	case		0.409763026986131	0.65	0.65	2.4	0.646189152981116	5
chr21	30745244	30745385	142	5	23.31	0.194024380906399	0.194024380906399	0.191934002658744	0.191934002658744	hyper	case		0.300425531771408	0.65	0.65	2.4	0.646189152981116	5
chr21	9877886	9878549	664	10	55.445	-0.369055718292125	0.369055718292125	-0.342842284607181	0.342842284607181	hypo	case		0.149009690883337	0.65	0.65	2.4	0.646189152981116	5
chr20	54886259	54886529	271	6	21.475	-0.299665410848654	0.299665410848654	-0.329637895945869	0.329637895945869	hypo	case		0.389114939015915	0.65	0.65	2.4	0.646189152981116	5
chr20	29838675	29838860	186	5	20.98	-0.0803297850675938	0.0803297850675938	-0.128926439278053	0.128926439278053	hypo	case		0.369535707385857	0.65	0.65	2.4	0.646189152981116	5
chr21	13699185	13700628	1444	8	10.84375	-0.362027186910765	0.362027186910765	-0.386220353525846	0.386220353525846	hypo	case		0.238335422534211	0.65	0.65	2.4	0.646189152981116	5
chr21	32647068	32647444	377	12	22.8375	-0.404799722770653	0.404799722770653	-0.419945097612532	0.419945097612532	hypo	case		0.108232554505091	0.65	0.65	2.4	0.646189152981116	5
chr20	30459947	30461648	1702	14	23.5607142857143	-0.325245415290284	0.325245415290284	-0.304128610662184	0.304128610662184	hypo	case		0.223512715061827	0.65	0.65	2.4	0.646189152981116	5
chr20	6464204	6465392	1189	26	22.3846153846154	-0.356190864504936	0.356190864504936	-0.386716110025527	0.386716110025527	hypo	case		0.296034299542554	0.65	0.65	2.4	0.646189152981116	5
chr20	28827323	28827674	352	6	46.9833333333333	0.283071439981526	0.283071439981526	0.280003984491816	0.280003984491816	hyper	case		0.0935497455864776	0.65	0.65	2.4	0.646189152981116	5
chr21	18031818	18033245	1428	17	23.3029411764706	-0.432113506502958	0.432113506502958	-0.408885063878613	0.408885063878613	hypo	case		0.386965398054936	0.65	0.65	2.4	0.646189152981116	5
chr20	18719560	18719652	93	5	23.65	0.237937650498796	0.237937650498796	0.191127337295662	0.191127337295662	hyper	case		0.309764343252976	0.65	0.65	2.4	0.646189152981116	5
chr20	39401107	39401859	753	15	27.4933333333333	-0.310949645151426	0.310949645151426	-0.340655529433913	0.340655529433913	hypo	case		0.50813903995705	0.65	0.65	2.4	0.646189152981116	5
chr20	31302595	31303529	935	13	22.5692307692308	0.377599735090144	0.377599735090144	0.401263996954938	0.401263996954938	hyper	case		0.433467751313671	0.65	0.65	2.4	0.646189152981116	5
chr21	25318398	25319881	1484	24	20.9708333333333	-0.377440776071427	0.377440776071427	-0.378955475689559	0.378955475689559	hypo	case		0.282349469144635	0.65	0.65	2.4	0.646189152981116	5
chr21	23335051	23335445	395	5	21.7	-0.207204736910872	0.207204736910872	-0.171324337601164	0.171324337601164	hypo	case		0.468251476072159	0.65	0.65	2.4	0.646189152981116	5
chr20	23970993	23971098	106	5	21.9	-0.367287135369902	0.367287135369902	-0.265535498043259	0.265535498043259	hypo	case		0.99	0.65	0.99	2.8	0.699178745142492	5
chr21	18699668	18700580	913	7	21.6285714285714	-0.391752618364575	0.391752618364575	-0.468603585585615	0.468603585585615	hypo	case		0.586308100105217	0.65	0.65	2.4	0.646189152981116	5
chr21	19965189	19965934	746	7	20.7214285714286	-0.282489765185384	0.282489765185384	-0.318383546075321	0.318383546075321	hypo	case		0.814560569555134	0.65	0.814560569555134	2.8	0.699178745142492	5
chr20	14096037	14096980	944	13	20.6576923076923	0.310114109087793	0.310114109087793	0.307608791856757	0.307608791856757	hyper	case		0.574863427649872	0.65	0.65	2.4	0.646189152981116	5
